,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600036.SH,20210208,55.19,55.6,53.69,55.26,54.74,0.52,0.9499,816377.76,4479792.762
1,600036.SH,20210205,54.06,55.94,53.7,54.74,53.5,1.24,2.3178,1151577.54,6315430.525
2,600036.SH,20210204,52.87,55.2,52.61,53.5,53.05,0.45,0.8483,969109.77,5229905.917
3,600036.SH,20210203,52.07,54.0,51.49,53.05,51.97,1.08,2.0781,765876.06,4045314.776
4,600036.SH,20210202,52.35,52.8,51.6,51.97,52.4,-0.43,-0.8206,720305.53,3752480.883
5,600036.SH,20210201,51.0,52.78,50.48,52.4,51.1,1.3,2.544,796625.87,4125446.256
6,600036.SH,20210129,52.18,52.46,50.81,51.1,51.61,-0.51,-0.9882,621489.14,3211002.062
7,600036.SH,20210128,51.0,51.75,50.8,51.61,52.0,-0.39,-0.75,523869.51,2684963.891
8,600036.SH,20210127,51.61,52.9,51.61,52.0,51.4,0.6,1.1673,609231.56,3187049.336
9,600036.SH,20210126,52.0,53.1,51.0,51.4,52.11,-0.71,-1.3625,601175.33,3126374.838
10,600036.SH,20210125,51.1,52.46,50.1,52.11,51.64,0.47,0.9101,865362.06,4438842.57
11,600036.SH,20210122,52.85,52.85,51.0,51.64,52.64,-1.0,-1.8997,870001.32,4492606.303
12,600036.SH,20210121,52.97,53.5,52.15,52.64,51.72,0.92,1.7788,736714.59,3886756.922
13,600036.SH,20210120,52.1,53.12,50.99,51.72,51.85,-0.13,-0.2507,792281.18,4123860.428
14,600036.SH,20210119,52.3,53.23,51.49,51.85,51.92,-0.07,-0.1348,901880.02,4710719.576
15,600036.SH,20210118,51.5,53.08,51.2,51.92,51.14,0.78,1.5252,1237641.6,6463924.98
16,600036.SH,20210115,50.5,53.89,50.48,51.14,49.05,2.09,4.261,1775745.22,9232542.839
17,600036.SH,20210114,49.4,50.08,48.56,49.05,49.4,-0.35,-0.7085,703770.99,3467710.708
18,600036.SH,20210113,49.31,49.98,48.88,49.4,49.7,-0.3,-0.6036,649109.79,3207741.653
19,600036.SH,20210112,48.55,50.05,47.56,49.7,48.42,1.28,2.6435,1044485.91,5103986.009
20,600036.SH,20210111,46.58,49.17,46.49,48.42,46.6,1.82,3.9056,1445233.56,6992740.146
21,600036.SH,20210108,46.29,47.02,45.81,46.6,45.9,0.7,1.5251,1299594.81,6021482.985
22,600036.SH,20210107,44.29,45.97,44.26,45.9,44.15,1.75,3.9638,1078321.87,4869741.128
23,600036.SH,20210106,42.1,44.2,42.0,44.15,42.18,1.97,4.6705,1200645.63,5188622.737
24,600036.SH,20210105,42.76,42.8,41.44,42.18,43.17,-0.99,-2.2933,1387176.99,5809639.049
25,600036.SH,20210104,43.23,43.78,42.02,43.17,43.95,-0.78,-1.7747,1549522.85,6608868.849
26,600036.SH,20201231,43.05,44.35,42.85,43.95,43.05,0.9,2.0906,891199.21,3909432.878
27,600036.SH,20201230,42.87,43.05,41.9,43.05,42.83,0.22,0.5137,933496.43,3963394.42
28,600036.SH,20201229,43.26,43.29,42.65,42.83,43.04,-0.21,-0.4879,727147.56,3118082.06
29,600036.SH,20201228,42.75,43.32,42.23,43.04,42.72,0.32,0.7491,841409.01,3600599.046
30,600036.SH,20201225,42.55,42.9,41.98,42.72,42.57,0.15,0.3524,476731.97,2023487.304
31,600036.SH,20201224,42.35,43.1,42.32,42.57,42.32,0.25,0.5907,482110.14,2055723.701
32,600036.SH,20201223,41.71,42.41,41.71,42.32,41.91,0.41,0.9783,711819.93,3004166.815
33,600036.SH,20201222,42.99,43.0,41.87,41.91,42.89,-0.98,-2.2849,784686.07,3320101.849
34,600036.SH,20201221,43.04,43.15,42.31,42.89,43.1,-0.21,-0.4872,623850.9,2674269.716
35,600036.SH,20201218,44.09,44.39,42.8,43.1,44.05,-0.95,-2.1566,760599.93,3296589.099
36,600036.SH,20201217,43.9,44.17,43.35,44.05,44.06,-0.01,-0.0227,502329.03,2199570.321
37,600036.SH,20201216,44.79,44.85,43.88,44.06,44.35,-0.29,-0.6539,367902.0,1628021.247
38,600036.SH,20201215,44.45,44.94,43.44,44.35,44.37,-0.02,-0.0451,438792.26,1936658.509
39,600036.SH,20201214,43.32,44.66,43.32,44.37,42.68,1.69,3.9597,607427.01,2686115.499
40,600036.SH,20201211,44.25,44.27,42.68,42.68,44.28,-1.6,-3.6134,771435.25,3347336.214
41,600036.SH,20201210,44.04,44.63,43.8,44.28,44.24,0.04,0.0904,368873.55,1630166.599
42,600036.SH,20201209,44.37,44.93,44.22,44.24,44.26,-0.02,-0.0452,375194.56,1672113.664
43,600036.SH,20201208,44.39,44.76,44.0,44.26,44.42,-0.16,-0.3602,377167.35,1671238.316
44,600036.SH,20201207,45.7,45.75,44.1,44.42,45.78,-1.36,-2.9707,704825.24,3138039.091
45,600036.SH,20201204,46.47,46.6,45.11,45.78,46.49,-0.71,-1.5272,461155.43,2099378.091
46,600036.SH,20201203,46.75,47.1,45.5,46.49,46.8,-0.31,-0.6624,502375.89,2317794.756
47,600036.SH,20201202,46.0,47.03,45.26,46.8,46.2,0.6,1.2987,619943.58,2864114.257
48,600036.SH,20201201,44.4,46.55,44.39,46.2,44.2,2.0,4.5249,780727.87,3559778.622
49,600036.SH,20201130,45.85,47.77,44.03,44.2,45.85,-1.65,-3.5987,1153601.81,5291989.606
50,600036.SH,20201127,45.4,45.97,44.7,45.85,45.09,0.76,1.6855,446077.7,2024963.455
51,600036.SH,20201126,44.47,45.38,44.47,45.09,44.43,0.66,1.4855,351534.29,1584282.516
52,600036.SH,20201125,45.52,45.57,44.17,44.43,44.87,-0.44,-0.9806,378072.49,1694470.963
53,600036.SH,20201124,45.0,45.3,44.53,44.87,45.4,-0.53,-1.1674,399467.34,1793220.437
54,600036.SH,20201123,45.05,45.58,44.82,45.4,45.05,0.35,0.7769,584621.13,2647101.184
55,600036.SH,20201120,44.76,45.3,44.51,45.05,44.87,0.18,0.4012,314687.57,1414292.248
56,600036.SH,20201119,44.53,45.0,43.99,44.87,44.75,0.12,0.2682,477341.74,2128954.044
57,600036.SH,20201118,43.6,45.0,43.41,44.75,43.84,0.91,2.0757,628202.15,2797752.552
58,600036.SH,20201117,43.0,44.0,42.8,43.84,43.0,0.84,1.9535,472856.2,2065231.454
59,600036.SH,20201116,42.95,43.1,42.65,43.0,42.58,0.42,0.9864,389431.99,1669941.865
60,600036.SH,20201113,43.2,43.2,41.81,42.58,43.58,-1.0,-2.2946,544862.9,2309702.717
61,600036.SH,20201112,44.0,44.44,43.35,43.58,44.35,-0.77,-1.7362,471594.35,2059661.759
62,600036.SH,20201111,44.0,44.35,43.51,44.35,43.72,0.63,1.441,526969.72,2322161.018
63,600036.SH,20201110,43.77,44.38,43.4,43.72,43.03,0.69,1.6035,562079.25,2461059.112
64,600036.SH,20201109,42.99,43.47,42.6,43.03,42.48,0.55,1.2947,497141.62,2138628.747
65,600036.SH,20201106,42.8,42.85,42.09,42.48,42.79,-0.31,-0.7245,463645.47,1969073.126
66,600036.SH,20201105,43.1,43.71,42.38,42.79,42.93,-0.14,-0.3261,680486.85,2918967.528
67,600036.SH,20201104,42.12,43.09,41.38,42.93,41.24,1.69,4.098,884500.85,3754732.975
68,600036.SH,20201103,40.7,42.1,40.7,41.24,40.25,0.99,2.4596,870690.16,3626910.913
69,600036.SH,20201102,40.49,40.7,39.18,40.25,39.81,0.44,1.1052,516927.98,2067738.931
