,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601766.SH,20210208,5.95,6.05,5.86,5.94,5.96,-0.02,-0.3356,1075762.85,640569.621
1,601766.SH,20210205,6.01,6.11,5.96,5.96,6.05,-0.09,-1.4876,1074392.52,646663.578
2,601766.SH,20210204,6.0,6.12,5.9,6.05,6.01,0.04,0.6656,1585927.03,952429.339
3,601766.SH,20210203,6.21,6.23,6.0,6.01,6.27,-0.26,-4.1467,1984197.62,1204054.479
4,601766.SH,20210202,6.25,6.42,6.18,6.27,6.23,0.04,0.6421,1624283.4,1024788.736
5,601766.SH,20210201,6.2,6.3,6.12,6.23,6.25,-0.02,-0.32,1324846.57,823842.501
6,601766.SH,20210129,6.53,6.56,6.15,6.25,6.49,-0.24,-3.698,2164371.77,1364246.131
7,601766.SH,20210128,6.64,6.65,6.45,6.49,6.76,-0.27,-3.9941,2026279.54,1326607.56
8,601766.SH,20210127,6.51,6.93,6.46,6.76,6.55,0.21,3.2061,3590382.0,2427030.223
9,601766.SH,20210126,6.51,6.59,6.36,6.55,6.58,-0.03,-0.4559,2306221.25,1493689.754
10,601766.SH,20210125,6.62,6.75,6.45,6.58,6.56,0.02,0.3049,2701754.05,1778889.652
11,601766.SH,20210122,6.88,6.88,6.53,6.56,6.94,-0.38,-5.4755,3461191.22,2306939.185
12,601766.SH,20210121,6.82,7.02,6.65,6.94,6.87,0.07,1.0189,3856219.22,2630981.256
13,601766.SH,20210120,6.79,7.11,6.63,6.87,6.78,0.09,1.3274,4235828.37,2911913.18
14,601766.SH,20210119,7.18,7.35,6.75,6.78,7.28,-0.5,-6.8681,5096581.84,3569247.423
15,601766.SH,20210118,6.96,7.44,6.95,7.28,7.14,0.14,1.9608,5341187.8,3848919.663
16,601766.SH,20210115,7.8,7.8,6.94,7.14,7.63,-0.49,-6.422,8904252.01,6543605.283
17,601766.SH,20210114,7.0,7.63,6.87,7.63,6.94,0.69,9.9424,7922106.75,5888225.122
18,601766.SH,20210113,6.23,6.94,6.22,6.94,6.31,0.63,9.9842,7304637.53,4925530.752
19,601766.SH,20210112,6.16,6.45,6.12,6.31,6.14,0.17,2.7687,3300925.91,2093548.995
20,601766.SH,20210111,5.9,6.33,5.81,6.14,5.89,0.25,4.2445,3930887.71,2426000.262
21,601766.SH,20210108,5.98,6.03,5.86,5.89,6.14,-0.25,-4.0717,2766080.51,1641548.851
22,601766.SH,20210107,6.01,6.36,5.84,6.14,5.89,0.25,4.2445,6043382.93,3688554.157
23,601766.SH,20210106,5.44,5.89,5.41,5.89,5.35,0.54,10.0935,3463654.99,1977954.009
24,601766.SH,20210105,5.25,5.7,5.25,5.35,5.28,0.07,1.3258,2868949.15,1570792.004
25,601766.SH,20210104,5.27,5.3,5.24,5.28,5.31,-0.03,-0.565,787490.75,415072.17
26,601766.SH,20201231,5.27,5.32,5.26,5.31,5.27,0.04,0.759,467697.93,247754.284
27,601766.SH,20201230,5.32,5.33,5.26,5.27,5.32,-0.05,-0.9398,566907.4,299293.506
28,601766.SH,20201229,5.32,5.35,5.31,5.32,5.32,0.0,0.0,358976.47,191212.831
29,601766.SH,20201228,5.33,5.36,5.31,5.32,5.37,-0.05,-0.9311,277029.27,147591.049
30,601766.SH,20201225,5.31,5.38,5.31,5.37,5.32,0.05,0.9398,271080.67,144906.026
31,601766.SH,20201224,5.35,5.38,5.31,5.32,5.33,-0.01,-0.1876,281074.65,150195.234
32,601766.SH,20201223,5.3,5.34,5.3,5.33,5.31,0.02,0.3766,243059.12,129353.185
33,601766.SH,20201222,5.36,5.38,5.3,5.31,5.37,-0.06,-1.1173,487623.9,260132.179
34,601766.SH,20201221,5.39,5.41,5.35,5.37,5.37,0.0,0.0,524013.32,281520.402
35,601766.SH,20201218,5.44,5.49,5.37,5.37,5.43,-0.06,-1.105,807897.16,436600.409
36,601766.SH,20201217,5.36,5.45,5.32,5.43,5.37,0.06,1.1173,410078.45,221072.742
37,601766.SH,20201216,5.4,5.41,5.36,5.37,5.4,-0.03,-0.5556,259687.8,139649.973
38,601766.SH,20201215,5.44,5.45,5.38,5.4,5.46,-0.06,-1.0989,328647.25,177553.3
